BindingDB	Canonical_Smiles	IC50	PubChem
50256750	Clc1ccc(NC(=O)c2cc(ccc2)C(F)(F)F)cc1C(=O)Nc1cc(Cl)c(nc1)N	30000	11626920
50306875	O1c2c3c4c(cc2OC1)C(=O)Nc4cc1c3ccc(O)c1O	30000	46232476
50306865	O(C)c1c2cc([N+](=O)[O-])c3c(c2ccc1)c(O)c(O)cc3C(=O)[O-]	30000	46232354
50360605	Fc1cc2cc([nH]c2cc1)C(=O)N1C[C@]2(CC[NH+](C2)C2CCC[NH2+]C2)c2c1cccc2	30000	57396882
50360611	Fc1cc2[nH]c(cc2cc1)C(=O)N1C[C@]2(CC[NH+](C2)C2CC[NH2+]C2)c2c1cccc2	30000	56835089
50360609	O=C(N1C[C@]2(CC[NH+](C2)C2CC[C@H]([NH2+]C2)C)c2c1cccc2)c1[nH]c2c(c1)cccc2	30000	57395116
50360610	Fc1cc2[nH]c(cc2cc1)C(=O)N1C[C@]2(CC[NH+](C2)C2CC[C@H]([NH2+]C2)C)c2c1cccc2	30000	57395117
50388782	O=C(Nc1cc2n(ncc2cc1)C1=Nc2n(ncc2C#N)C(NC2CC2)=C1)C	30000	70686473
50388783	O=C(Nc1cc2n(ccc2nc1)C1=Nc2n(ncc2C#N)C(NC2CC2)=C1)C	30000	70684312
50388784	O=C(Nc1cc2n(ccc2cc1)C1=Nc2n(ncc2C#N)C(NCCC[NH+](C)C)=C1)C	30000	70696865
50388785	O=C(N(C)c1cc2n(ccc2cc1)C1=Nc2n(ncc2C#N)C(NC2CC2)=C1)C	30000	70682212
50388781	O=C(Nc1cc2c(n(cc2C2=Nc3n(ncc3C#N)C(NC3CC3)=C2)CCC(=O)[O-])cc1)C	30000	70682214
50379354	Brc1c[nH+]c2nc([nH]c2c1NCCCNC(=O)C(C)(C)C)-c1ccc(OC)cc1	30000	70683155
50379365	O(C)c1ccc(cc1)-c1[nH]c2c([nH+]cc(C(=O)N)c2NCCCNC(=O)C2CCCC2)n1	30000	57328467
50448977	s1cc(nc1-c1c[nH+]c2nc([nH]c2c1NCCCNC(=O)C1CCCC1)-c1ccc(OC)cc1)C(=O)NCC(C)C	30000	76336290
