BindingDB	Canonical_Smiles	IC50	PubChem
17697	Clc1ccc(Nc2oc3c(n2)cc(Oc2cc(ncc2)C(=O)NC)cc3)cc1OC[C@H]1[NH+](CCC1)C	40000	11620410
16017	Oc1ccc(cc1)-c1cc2c3c(ccc2nc1)ccnc3	40000	5326727
15436	s1cccc1-c1[nH]c(c(n1)-c1cc2N(C)C(=O)N(c2cc1)C)-c1cc(ccc1)C(C)C	32000	23581662
16018	O=C1c2c(-c3n[nH]c4c3c1ccc4)cccc2	30000	8515
50132380	O=C(N1CC[NH+](CC1)Cc1ccccc1)c1c2[nH]ccc2ccc1	30000	19013287
50343674	S(=O)(=O)(N1CC[NH2+]CC1)c1ccc(cc1)-c1nc(ncc1)NC1CC[NH2+]CC1	30000	54582175
50331277	O(C)c1cc2[nH]c(cc2cc1)-c1n[nH]c2c1nccc2	30000	49839480
50327396	s1c(cnc1NCCC)-c1nc(ncc1)-c1ccccc1F	30000	11594806
50365806	O\1c2c(ccc(O)c2C[NH+]2CCOCC2)C(=O)/C/1=C\c1c2c(n(c1)CC)cccc2	30000	16422038
50365807	o1c2N=Cn3nc(nc3-c2c(c1-c1occc1)-c1occc1)CCN1C(=O)c2c(cccc2)C1=O	30000	4912661
50354686	Oc1ccc(cc1)-c1nnc(Nc2ccc(cc2)C(=O)N)c2c1cccc2	30000	5438291
50363446	O(C)c1ccc(Nc2nc3n(C4CCCC4)c(nc3cn2)Nc2ccccc2)cc1	30000	57402785
50363448	Clc1ccccc1Nc1nc2c(nc(nc2)Nc2ccc(OC)cc2)n1C1CCCC1	30000	24811103
50363451	Fc1ccccc1Nc1nc2c(nc(nc2)NC)n1C1CCCC1	30000	24811099
50390262	S1\C(=C/c2ccc(Oc3ccc(cc3)C(=O)N)cc2)\C(=O)N(c2ccc(OCCC[NH+]3CCCC3)cc2)C1=S	30000	70695135
50390259	S1\C(=C/c2ccc(Oc3cc(ccc3)C(=O)N)cc2)\C(=O)N(c2ccc(OCCC[NH+]3CC[NH+](CC3)C)cc2)C1=S	30000	70697173
50390260	S1\C(=C/c2ccc(Oc3ccc(cc3)C(=O)N)cc2)\C(=O)N(c2ccc(OCCC[NH+]3CC[NH+](CC3)C)cc2)C1=S	30000	70690944
24773	O=C(Nc1cc2NCC(c2cc1)(C)C)c1cccnc1NCc1ccncc1	3000	11667893
50363447	Fc1ccccc1Nc1nc2c(nc(nc2)Nc2ccc(OC)cc2)n1C1CCCC1	3000	11647397
50363460	Fc1ccccc1Nc1nc2c(nc(nc2)Nc2ccc(OC)cc2)n1-c1ccccc1	3000	24810995
50363459	Fc1ccccc1Nc1nc2c(nc(nc2)Nc2ccc(OC)cc2)n1C1CCCCC1	3000	24810996
50364372	Fc1cc(F)ccc1Nc1nc2c(nc(nc2)NC2CCC(OCC)CC2)n1C1CCOCC1	3000	57398025
50364374	Fc1cc(F)ccc1Nc1nc2c(nc(nc2)NC2CCC(O)(CC2)C)n1C1CCOCC1	3000	57390951
50364375	Fc1cc(F)ccc1Nc1nc2c(nc(nc2)[C@H]2C[C@H](CC2)C(O)(C)C)n1C1CCOCC1	3000	57401443
50364376	Fc1cc(F)cc(F)c1Nc1nc2c(nc(nc2)NC2CCC(O)CC2)n1[C@@H]1CCOC1	3000	57394468
13923	O(CCn1ccnc1)C(=O)Nc1cn2N=C[NH+]=C(Nc3cc4c(n(nc4)Cc4ccccc4)cc3)c2c1CC	25000	9871380
50384384	s1ccnc1C(=O)Nc1cc(N2C=Nc3c(cc(N4CC[NH+](CC4)C)cc3)C2=O)c(cc1)C	2238.72	70681603
50384388	s1c(cnc1NC(=O)c1cc(N2C=Nc3c(cc(N4CC[NH+](CC4)C)cc3)C2=O)c(cc1)C)C	2238.72	70694241
50132994	Clc1ccc(cc1)-c1c[nH]nc1-c1nc(ccc1)C	20000	10945492
50132978	[nH]1nc(c(c1)-c1ccccc1)-c1ncccc1	20000	10977011
50132977	[nH]1nc(c(c1)-c1ccccc1)-c1nc(ccc1)C	20000	11791162
50132995	Fc1cc(ccc1F)-c1c[nH]nc1-c1nc(ccc1)C	20000	11807788
50132976	Fc1ccc(cc1)-c1c[nH]nc1-c1nc(ccc1)C	20000	10083602
50148658	O(C)c1ccc(cc1)-c1c2n(nc1-c1ncccc1)CCC2	20000	21992651
50148664	Fc1ccc(cc1)-c1c2n(nc1-c1nc(ccc1)CO)CCC2	20000	9944477
50148673	S(=O)(=O)(C)c1ccc(cc1)-c1c2n(nc1-c1nc(ccc1)C)CCC2	20000	44346063
50148669	Fc1ccc(cc1)-c1c2n(nc1-c1nc(ccc1)C)CCC2	20000	5287525
50148667	Fc1ccc(cc1)-c1c2n(nc1-c1nc(ccc1)C(F)(F)F)CCC2	20000	21992824
50148660	Fc1ccc(cc1)-c1c2n(nc1-c1ncccc1)CCC2	20000	21992496
50148670	Fc1cc(ccc1F)-c1c2n(nc1-c1nc(ccc1)C)CCC2	20000	21992681
50148663	n1c(cccc1C)-c1nn2c(CCC2)c1-c1ccc(cc1)C	20000	21992749
50153831	O(C)c1cc(ccc1OC)C(=O)Nc1cc(NC(=O)c2cc(N(C)C)ccc2)ccc1	20000	44395117
50153836	O(C)c1cc(ccc1OC)C(=O)Nc1cc(NC(=O)c2cc(N(C)C)ccc2)c(cc1)C	20000	9824192
50153839	O(C)c1cc(ccc1OC)C(=O)N(C)c1cc(NC(=O)c2cc(N(C)C)ccc2)ccc1C	20000	44396101
50175241	s1c2[nH]nc(c2cc1C(=O)NCc1ccc(OC)cc1)-c1ccccc1	20000	44406014
50174093	S(=O)(=O)(Nc1cc(Oc2cc(ccc2)C(F)(F)F)ccc1)N1CCC([NH2+]Cc2ccccc2O)CC1	20000	44405349
50174094	Clc1ccccc1Oc1cc(NS(=O)(=O)N2CCC([NH2+]Cc3ccccc3O)CC2)ccc1	20000	44405389
50174099	S(=O)(=O)(N1CCC([NH2+]Cc2ccccc2O)CC1)Cc1cc(Oc2ccccc2)ccc1	20000	44405372
50174087	S(=O)(=O)(Nc1cc(Oc2ccccc2)ccc1)N1CCC([NH2+]Cc2c3c(ccc2)cccc3)CC1	20000	44405351
50174091	S(=O)(=O)(Nc1cc(Oc2ccccc2)ccc1)N1CCC([NH2+]Cc2ccccc2)CC1	20000	44405350
50175234	s1c2[nH]nc(c2cc1C(=O)NCCc1ccccc1)-c1ccccc1	20000	44406013
50175232	s1c2[nH]nc(c2cc1C(=O)N1CC[NH+](CC1)C)-c1ccccc1	20000	44406018
50175239	s1c2[nH]nc(c2cc1C(=O)NC1CCCCC1)-c1ccccc1	20000	44406074
50175237	s1c2[nH]nc(c2cc1C(=O)N(CCCC)C)-c1ccccc1	20000	11645322
50338291	Brc1csc(NC(=O)CN2c3c(CCC2=O)cccc3)c1-c1[nH]cnn1	20000	46869882
50382355	S(C1=NN2C(C=C1)=C(c1ccc(F)cc1)C(=O)N=C2)c1ccccc1	20000	15872095
50382360	S(C1=NN2C(C=C1)=C(c1ccccc1)C(=O)N=C2)c1ccccc1	20000	15872094
50382365	S(C1=NN2C(C=C1)=C(c1ccc(OC)cc1)C(=O)N=C2)c1ccccc1	20000	21354219
50382366	Clc1cc(ccc1Cl)C1=C2N(N=C(Sc3ccccc3)C=C2)C=NC1=O	20000	21354238
50125593	Fc1cccc(F)c1N(C(=O)N)c1nc(nc2n(cnc12)C)-c1cc(F)cc(F)c1	16700	44272022
50125603	Fc1cc(C)c(cc1)-c1nc(N(C(=O)N)c2ccccc2OC)c2ncn(c2n1)C	16700	44272075
50125591	Fc1cc(C)c(cc1)-c1nc(N(C(=O)N)c2ccccc2)c2ncn(c2n1)C	16700	44272065
25999	o1cnnc1-c1cc(-c2ccc(cc2)C(=O)NCC2CC2)c(cc1)C	16000	25093469
25995	o1c(nnc1C)-c1cc(-c2ccc(cc2)C(=O)[O-])c(cc1)C	16000	11220119
26006	o1c(nnc1C)-c1cc(ccc1)-c1ccc(cc1)C(=O)NCC1CC1	16000	25093474
26007	o1c(nnc1C)-c1cc(ccc1)-c1ccc(cc1C)C(=O)NCC1CC1	16000	25093475
26002	o1c(nnc1CCCC)-c1cc(-c2ccc(cc2)C(=O)NCC2CC2)c(cc1)C	16000	25093470
25997	o1c(nnc1C)-c1cc(-c2ccc(cc2)C(=O)NCC[NH+]2CCOCC2)c(cc1)C	16000	25093467
50263066	o1cc(cc1)C(=O)Nc1cc(-c2ccc(cc2)C(=O)NCC2CC2)c(N(C)C)cc1	16000	44578614
50263065	o1cc(cc1)C(=O)Nc1cc(-c2ccc(cc2)C(=O)NCC2CC2)c(OC)cc1	16000	44578613
50263021	O=C(NC1CC1)c1cc(ccc1)-c1ccc(cc1)C(=O)NCC1CC1	16000	44578563
35318	FC(F)(F)c1cc(Nc2nccc3c2ccc(C)c3Nc2ncccc2-c2ncncc2)ccc1	1600	16214904
35319	Clc1ccc(Nc2nccc3c2ccc(C)c3Nc2ncccc2-c2ncncc2)cc1	1600	44473101
35320	Clc1ccc(Nc2nccc3c2ccc(C)c3Nc2ncccc2-c2ncnc(NC)c2)cc1	1600	44473102
35321	n1cnc(NC)cc1-c1cccnc1Nc1c2c(ccc1C)c(ncc2)Nc1ccc(cc1)C#N	1600	44473103
35324	Clc1ccc(Nc2nccc3c2ccc(C)c3-c2cc3c(nc(nc3)NC)cc2)cc1	1600	24863671
35327	Clc1ccc(Nc2nccc3c2ccc(C)c3Nc2ncccc2-c2ncnc3nc[nH]c23)cc1	1600	44223999
50411403	s1c2c(CCCC2)c(C#N)c1NS(=O)(=O)c1c2c(ccc1)cccc2	15848.93	44431826
50411409	s1c2c(CCCC2)c(C#N)c1NC(=O)C[NH+]1CCOCC1	15848.93	826287
50415602	O(C)c1cc2c(cc1OC)CCN=C2c1ccccc1	15848.93	622378
50415604	Clc1cc2c(cc1OC)C(=NCC2)c1cc(Cl)ccc1	15848.93	46881341
50415607	Clc1cc2c(cc1OC)C(=NCC2)c1cc(F)ccc1	15848.93	46881343
50415609	Clc1cc2c(cc1OC)C(=NCC2)c1ccc(F)cc1	15848.93	46881345
50415610	Clc1cc(ccc1Cl)C1=NCCc2c1cc(OC)c(OC)c2	15848.93	46881329
50415611	Clc1ccc(cc1)C1=NCCc2c1cc(OC)c(OC)c2	15848.93	2823737
50415603	O(C)c1cc2c(cc1OC)CCN=C2c1cc(OC)ccc1	15848.93	626628
50415605	Clc1cc(ccc1)C1=NCCc2c1cccc2	15848.93	10847715
50415606	Clc1cc2c(cc1OC)CCN=C2c1cc(F)ccc1	15848.93	46881342
50415608	Clc1cc2c(cc1OC)CCN=C2c1ccc(F)cc1	15848.93	46881344
50415613	Brc1cc(ccc1)C1=NCCc2c1cc(OC)c(Cl)c2	15848.93	46881351
50415615	Clc1cc2c(cc1OC)C(=NCC2)c1cc2c(cc1)cccc2	15848.93	46881353
50415617	Clc1cc2c(cc1OC)C(=NCC2)c1cc(Cl)c(Cl)cc1	15848.93	46881354
50415619	Clc1cc2c(cc1OC)C(=NCC2)c1ccccc1	15848.93	14198571
50415618	Clc1cc2c(cc1OC)CCN=C2c1ccccc1	15848.93	46881355
50415621	Clc1cc2c(cc1OC)CCN=C2c1cc(ccc1)C	15848.93	46881358
50415623	Clc1cc2c(cc1OC)CCN=C2CC	15848.93	46881361
50415614	Clc1cc2c(cc1OC)CCN=C2c1cc2c(cc1)cccc2	15848.93	46881352
50415622	Clc1cc2c(cc1OC)CCN=C2Cc1ccccc1	15848.93	46881360
50411407	s1c2N(CCCc2c(C#N)c1NC(=O)c1c2c(ccc1)cccc2)C(=O)c1[nH]ncc1	15848.93	44431831
50411412	s1c2c(CCCC2)c(C#N)c1NC(=O)NC1CCCC1	15848.93	44431828
50411408	s1c2N(CCCc2c(C#N)c1NC(=O)c1c2c(ccc1)cccc2)Cc1ccc(S(=O)(=O)C)cc1	15848.93	44431832
50411414	s1c2c(CCCC2)c(C#N)c1NC(=O)c1ccc(F)cc1	15848.93	579429
50241256	s1c2c(CCCC2)c(C#N)c1NC(=O)c1ccccc1	15848.93	290221
50411417	s1c2N(CCCc2c(C#N)c1NC(=O)c1c2c(ccc1)cccc2)Cc1cccnc1	15848.93	44431833
86638	s1c2c(CCCC2)c(C#N)c1NC(=O)c1c2c(ccc1)cccc2	15848.93	766949
50411418	s1c2c(CCCC2)c(C#N)c1NC(=O)Nc1c2c(ccc1)cccc2	15848.93	44431827
50411406	s1c2N(CCCc2c(C#N)c1NC(=O)c1c2c(ccc1)cccc2)C(=O)C1CC1	15848.93	16664858
50411415	s1c2c(CCN(C2)C(=O)CC[NH+]2CCCCC2)c(C#N)c1NC(=O)c1c2c(ccc1)cccc2	15848.93	15991561
50365995	s1c2c(CCCC2)c(C#N)c1NC(=O)Cc1ccccc1	15848.93	684674
50411420	s1c2c(CCCC2)c(C#N)c1NS(=O)(=O)c1cc(ccc1)C	15848.93	15680125
50411421	s1c2c(CCN(C2)C(=O)C[NH+](C)C)c(C#N)c1NC(=O)c1c2c(ccc1)cccc2	15848.93	44431829
